bj_f_rank|bj_name|bj_id|bj_rank_all|bj_follower|bj_swatch|bj_last_time|bj_last_visit|bj_last_up|bj_info_bs|bj_url|img
330|사연노사연♡|leeju7|1,037위|876|47,250|2009-09-16|2017-10-03 16:22|25 (7,587)|혼자 자유롭게 떠나보아요~|http://www.afreecatv.com/leeju7|http://stimg.afreecatv.com/LOGO/le/leeju7/leeju7.jpg
331|[CT]춘태|khjin4936|1,242위|1,052|94,504|2016-09-13|2017-10-03 14:16|20 (11,711)|춘태커플|http://www.afreecatv.com/khjin4936|http://stimg.afreecatv.com/LOGO/kh/khjin4936/khjin4936.jpg
332|[BJ]멍미미|leemimiyeon|1,065위|3,924|175,178|2016-12-01|2017-10-04 00:00|47 (36,477)|일상방송, 소통, 힐링, 고민상담, 음악신청, 쿡방, 먹방, 야방|http://www.afreecatv.com/leemimiyeon|http://stimg.afreecatv.com/LOGO/le/leemimiyeon/leemimiyeon.jpg
333|BJ맹예나|yoi57178|404위|63,758|4,798,101|2016-05-27|2017-10-03 13:35|423 (855,588)|방송은 매일밤 10시 START♥ 주말은랜덤~★|http://www.afreecatv.com/yoi57178|http://stimg.afreecatv.com/LOGO/yo/yoi57178/yoi57178.jpg
334|아리연습중|jy941209|1,148위|52,013|1,325|2016-03-08|2017-09-28 17:29|242 (922,021)|2016.08.18 ~ 아리연습중|http://www.afreecatv.com/jy941209|http://stimg.afreecatv.com/LOGO/jy/jy941209/jy941209.jpg
335|상실아|kimhaenim091|1,225위|6,633|419,223|2015-10-10|2017-10-03 20:30|27 (126,872)|인스타팔로우 ㄱㄱ   01.917|http://www.afreecatv.com/kimhaenim091|http://stimg.afreecatv.com/LOGO/ki/kimhaenim091/kimhaenim091.jpg
336|김가희_Z|hipgirl|1,634위|88,508|5,661|2003-05-17|2017-10-02 00:00|18 (1,235,295)|리니지, 라이브|http://www.afreecatv.com/hipgirl|http://stimg.afreecatv.com/LOGO/hi/hipgirl/hipgirl.jpg
338|하둥이|junghj2377|892위|10,438|588,904|2013-11-25|2017-10-03 20:08|37 (73,573)|둥두루루루룽|http://www.afreecatv.com/junghj2377|http://stimg.afreecatv.com/LOGO/ju/junghj2377/junghj2377.jpg
339|금순|goldsoon|667위|3,589|125,921|2016-12-20|2017-10-03 00:00|21 (39,219)|Why not?|http://www.afreecatv.com/goldsoon|http://stimg.afreecatv.com/LOGO/go/goldsoon/goldsoon.jpg
340|♥또아|carry2011|742위|1,356|45,214|2011-08-05|2017-10-04 00:00|46 (11,256)|또아키우기!! 소통해요^^앙앙|http://www.afreecatv.com/carry2011|http://stimg.afreecatv.com/LOGO/ca/carry2011/carry2011.jpg
341|파니♥|wlwlqo12345|1,167위|16,985|6,538|2011-12-04|2017-10-03 00:00|56 (381,198)|나를 행복하게 해주는 ♥14.7.19~|http://www.afreecatv.com/wlwlqo12345|http://stimg.afreecatv.com/LOGO/wl/wlwlqo12345/wlwlqo12345.jpg
342|Bj온리U|ummmu2|173위|229|3,914|2017-03-30|2017-10-04 00:00|41 (967)|게임방송 하구싶은데 사양이 안돼서 캠방한다 후ㅎㅎㅎ|http://www.afreecatv.com/ummmu2|http://stimg.afreecatv.com/LOGO/um/ummmu2/ummmu2.jpg
343|BJ전수아|nomachannel|503위|51,922|4,971|2014-10-14|2017-10-04 00:00|64 (425,880)|수아네방/싱글라이프/|http://www.afreecatv.com/nomachannel|http://stimg.afreecatv.com/LOGO/no/nomachannel/nomachannel.jpg
344|영우★|sarboami|797위|1,336|34,893|2017-05-24|2017-10-02 11:53|11 (10,125)|순진한 방송|http://www.afreecatv.com/sarboami|http://stimg.afreecatv.com/LOGO/sa/sarboami/sarboami.jpg
346|BJ은묘♥|dmsl0012|646위|1,021|27,703|2015-06-08|2017-09-28 21:20|37 (9,151)|[은빛고양이]|http://www.afreecatv.com/dmsl0012|http://stimg.afreecatv.com/LOGO/dm/dmsl0012/dmsl0012.jpg
347|♡수안♡|harrypotter0|171위|1,456|33,051|2017-08-11|2017-10-04 00:00|39 (8,682)|수안이랑♥|http://www.afreecatv.com/harrypotter0|http://stimg.afreecatv.com/LOGO/ha/harrypotter0/harrypotter0.jpg
348|똘연|7lucky|495위|7,079|485,779|2017-03-24|2017-10-04 01:52|62 (60,653)|2017.5.30~|http://www.afreecatv.com/7lucky|http://stimg.afreecatv.com/LOGO/7l/7lucky/7lucky.jpg
349|희주+♥|twinklejooo|1,310위|15,175|609,601|2015-03-18|2017-10-03 00:00|163 (229,654)|희덕모집은 언제나환영 :)|http://www.afreecatv.com/twinklejooo|http://stimg.afreecatv.com/LOGO/tw/twinklejooo/twinklejooo.jpg
350|BJ아욤|mayoung11|184위|566|13,103|2017-06-07|2017-10-02 19:49|5 (3,578)|afreecaTV|http://www.afreecatv.com/mayoung11|http://stimg.afreecatv.com/LOGO/ma/mayoung11/mayoung11.jpg
352|다구님♥|4949486|181위|1,058|33,288|2017-03-03|2017-10-04 00:00|36 (8,363)|자꾸자꾸자꾸 좋아지는 다구랑|http://www.afreecatv.com/4949486|http://stimg.afreecatv.com/LOGO/49/4949486/4949486.jpg
354|행운♡|jiyu9698|678위|2,858|112,741|2016-11-11|2017-10-03 19:12|16 (50,192)|당신을 위해선 바보가 되어도 좋아요...|http://www.afreecatv.com/jiyu9698|http://stimg.afreecatv.com/LOGO/ji/jiyu9698/jiyu9698.jpg
355|신도희님♥|whddlfl|599위|48,868|4,389|2003-12-15|2017-09-30 11:26|19 (395,706)|니가웃으면나도좋아..♥|http://www.afreecatv.com/whddlfl|http://stimg.afreecatv.com/LOGO/wh/whddlfl/whddlfl.jpg
